feature,importance,signed_value
num__label_changed_line_count,0.5453666956720067,-0.5453666956720067
cat__project_frr,0.4928584397909672,0.4928584397909672
cat__cwe_CWE-264,0.4741260946353155,-0.4741260946353155
cat__project_pcre2,0.4590732594375536,0.4590732594375536
cat__cwe_CWE-22,0.3957838598902552,0.3957838598902552
num__method_pred_entropy,0.39119549413284616,-0.39119549413284616
cat__project_EternalTerminal,0.38745920123807953,-0.38745920123807953
cat__project_envoy,0.3744475401053529,0.3744475401053529
num__positive_weighted_rag_prompt_tokens,0.3690456434788549,-0.3690456434788549
cat__cwe_CWE-269,0.3613908442914284,0.3613908442914284
cat__project_net,0.35020464887690206,0.35020464887690206
cat__project_tinyexr,0.3389268347183198,-0.3389268347183198
cat__project_heimdal,0.33708899381366386,0.33708899381366386
cat__project_hexchat,0.31365515327054094,0.31365515327054094
cat__project_autotrace,0.3113207230836956,-0.3113207230836956
cat__project_core,0.3097116903390316,-0.3097116903390316
cat__project_oniguruma,0.2968560057349729,0.2968560057349729
cat__project_rizin,0.2938776916783982,0.2938776916783982
cat__project_curl,0.29369123698540983,-0.29369123698540983
cat__project_bpf,0.2900130352782664,0.2900130352782664
cat__project_rpm,0.2884669938273507,0.2884669938273507
cat__project_wolfMQTT,0.2828155944346349,-0.2828155944346349
cat__project_monit,0.280033483042944,-0.280033483042944
cat__project_libmobi,0.2770586382906083,-0.2770586382906083
cat__project_icecast-server,0.27400210996219415,0.27400210996219415
cat__project_xserver,0.2698207331045486,-0.2698207331045486
num__method_known_pred_count,0.26619387727277916,0.26619387727277916
cat__project_chafa,0.2661775082662775,-0.2661775082662775
num__balanced_grouped_no_label_bc_message_chars,0.261103169434563,0.261103169434563
num__retrieval_top_neg_score_max,0.25973949759565196,-0.25973949759565196
cat__cwe_CWE-122,0.2562161714342785,-0.2562161714342785
cat__project_hhvm,0.2556650258984321,-0.2556650258984321
cat__cwe_CWE-191,0.25460474956453893,-0.25460474956453893
cat__cwe_CWE-200,0.24896833873163154,0.24896833873163154
cat__project_perl5,0.24073036167998627,0.24073036167998627
num__yes_only_pred,0.2404864846099747,0.2404864846099747
num__positive_weighted_rag_message_chars,0.238415239160204,-0.238415239160204
cat__cwe_CWE-275,0.2342400649974943,0.2342400649974943
cat__project_guile,0.2342400649974943,0.2342400649974943
cat__project_libtiff,0.2319263339048386,0.2319263339048386
cat__cwe_CWE-770,0.23017645614691754,0.23017645614691754
cat__project_njs,0.2293473315326011,-0.2293473315326011
cat__project_gnulib,0.22762602059209053,-0.22762602059209053
cat__project_openssl,0.2230884689056735,0.2230884689056735
cat__cwe_CWE-20,0.2205274689492397,0.2205274689492397
cat__cwe_CWE-617,0.2202420093924161,-0.2202420093924161
cat__project_libMeshb,0.21667828709753162,-0.21667828709753162
cat__cwe_CWE-120,0.21546923793925998,0.21546923793925998
cat__project_squid,0.2123346349292281,0.2123346349292281
num__cond_count,0.21208012031040743,0.21208012031040743
cat__project_mvfst,0.2103749390097004,-0.2103749390097004
cat__project_raptor,0.20761729172871118,-0.20761729172871118
num__positive_weighted_rag_pred,0.2074711609432925,-0.2074711609432925
cat__cwe_CWE-190,0.20699258579052898,-0.20699258579052898
cat__project_gzip,0.20594052475456873,-0.20594052475456873
cat__retrieval_top1_evidence_role_vulnerable_context,0.20460003235810686,0.20460003235810686
cat__project_ceph,0.2041969445160748,0.2041969445160748
num__line_count,0.2021035635944343,-0.2021035635944343
cat__project_nagioscore,0.2005767774242932,0.2005767774242932
cat__project_unbound,0.19383874282981328,-0.19383874282981328
cat__project_owntone-server,0.1878092057381709,0.1878092057381709
cat__project_elfspirit,0.1876890916050125,-0.1876890916050125
cat__project_gpac,0.1857705799719729,-0.1857705799719729
cat__project_ImageMagick6,0.1853005770369224,0.1853005770369224
num__retrieval_score_gap_top1_top2,0.18493106392526434,0.18493106392526434
cat__project_ImageMagick,0.18312154947594414,0.18312154947594414
cat__cwe_CWE-434,0.18222158329406068,-0.18222158329406068
cat__project_pure-ftpd,0.18222158329406068,-0.18222158329406068
cat__project_furnace,0.1820581885123161,0.1820581885123161
cat__project_radare2,0.18151250057128382,-0.18151250057128382
num__unique_call_count,0.17823786748849843,-0.17823786748849843
cat__project_weechat,0.1715129914001141,-0.1715129914001141
cat__project_cifs-utils,0.17141843022990977,0.17141843022990977
cat__project_ntp,0.17067462128150734,-0.17067462128150734
cat__project_gst-plugins-good,0.16337584106787376,-0.16337584106787376
cat__cwe_CWE-189,0.1622287914717941,-0.1622287914717941
cat__project_tar,0.15992420351218078,-0.15992420351218078
cat__project_uWebSockets,0.1532268852398591,-0.1532268852398591
num__retrieval_top1_score,0.1515876423790222,0.1515876423790222
cat__cwe_CWE-284,0.1500069089407922,-0.1500069089407922
cat__project_FreeRDP,0.1474786493804518,0.1474786493804518
cat__cwe_CWE-362,0.14602205704024268,0.14602205704024268
num__retrieval_negative_evidence_count,0.1445728692933679,-0.1445728692933679
num__retrieval_num_selected_query_chunks,0.14457286929336435,-0.14457286929336435
num__zero_shot_pred,0.14415340265755264,0.14415340265755264
num__old_rag_pred,0.14202602133090741,-0.14202602133090741
cat__cwe_CWE-399,0.14193269338550604,0.14193269338550604
cat__project_deark,0.14136025158646892,0.14136025158646892
cat__project_puma,0.14025102275287982,0.14025102275287982
cat__cwe_CWE-444,0.14025102275287982,0.14025102275287982
num__no_only_pred,0.1396401083400352,-0.1396401083400352
cat__project_file-roller,0.13737944531654062,0.13737944531654062
cat__cwe_CWE-672,0.1362491152860393,-0.1362491152860393
cat__project_tigervnc,0.1362491152860393,-0.1362491152860393
cat__project_glib,0.13613472339222565,0.13613472339222565
cat__project_gnutls,0.1352979695852782,0.1352979695852782
cat__cwe_CWE-415,0.13430764769555883,-0.13430764769555883
cat__project_dpdk,0.13418062002122783,-0.13418062002122783
num__loop_count,0.13386145739666627,-0.13386145739666627
cat__project_cryptopp,0.1337075760462616,0.1337075760462616
cat__project_shapelib,0.1329755804401947,-0.1329755804401947
num__preproc_count,0.13262346567129277,0.13262346567129277
cat__project_postgres,0.13224464345301068,0.13224464345301068
cat__cwe_CWE-522,0.13224464345301068,0.13224464345301068
cat__project_LibRaw,0.1273893328415912,0.1273893328415912
num__retrieval_top2_score,0.12737951138305964,0.12737951138305964
cat__cwe_CWE-772,0.12731777288050514,0.12731777288050514
cat__project_squashfs-tools,0.12729075560425582,0.12729075560425582
cat__cwe_CWE-354,0.12724463780431228,0.12724463780431228
cat__cwe_CWE-295,0.12482487106791533,-0.12482487106791533
cat__project_e2guardian,0.12482487106791533,-0.12482487106791533
cat__project_mujs,0.12387176189759894,0.12387176189759894
cat__project_clamav-devel,0.12338720920086325,-0.12338720920086325
cat__project_nf,0.12300549859682776,0.12300549859682776
num__retrieval_mean_match_score,0.12244661381489425,-0.12244661381489425
cat__retrieval_top1_evidence_role_vulnerable_changed,0.12157375285765223,-0.12157375285765223
cat__project_libjpeg,0.12116007537506539,0.12116007537506539
cat__cwe_CWE-863,0.1203132061216615,-0.1203132061216615
cat__project_ncurses,0.12000910992035504,-0.12000910992035504
cat__project_qcad,0.11947440702937698,-0.11947440702937698
cat__cwe_CWE-552,0.1188912535584246,0.1188912535584246
cat__project_drogon,0.1188912535584246,0.1188912535584246
num__icl_pred,0.11812245218110669,0.11812245218110669
cat__project_file,0.11810305210062665,-0.11810305210062665
cat__project_gdk-pixbuf,0.11674347467886005,-0.11674347467886005
cat__cwe_CWE-843,0.11265887716850867,-0.11265887716850867
cat__cwe_CWE-17,0.11061637777212376,-0.11061637777212376
cat__project_uftpd,0.1092306957280215,-0.1092306957280215
cat__project_samba,0.10846403373618577,0.10846403373618577
cat__cwe_CWE-665,0.10846403373618577,0.10846403373618577
num__error_handling_keyword_count,0.10828649978272893,-0.10828649978272893
cat__cwe_CWE-310,0.10747399539925238,0.10747399539925238
cat__project_varnish-cache,0.10548466592752735,0.10548466592752735
cat__cwe_CWE-400,0.10503189466626883,0.10503189466626883
cat__project_ovs,0.10488101933895141,-0.10488101933895141
cat__project_cyrus-imapd,0.10449506636790847,0.10449506636790847
cat__cwe_CWE-732,0.10449506636790847,0.10449506636790847
cat__cwe_CWE-476,0.10409026967409125,-0.10409026967409125
cat__project_tensorflow,0.10344937903344811,0.10344937903344811
num__call_count,0.10267588086633965,0.10267588086633965
cat__cwe_CWE-369,0.10236758069948514,-0.10236758069948514
cat__cwe_CWE-834,0.10153694366112793,-0.10153694366112793
num__retrieval_top1_evidence_polarity,0.10136772722093768,0.10136772722093768
num__balanced_grouped_no_label_bc_pred,0.1006786880168051,0.1006786880168051
cat__cwe_CWE-909,0.09923544210660065,0.09923544210660065
cat__project_cairo,0.09734928075588042,-0.09734928075588042
cat__project_exim,0.09703120172264135,-0.09703120172264135
cat__project_booth,0.09502712963025124,0.09502712963025124
cat__project_qemu,0.09463725365613106,0.09463725365613106
cat__project_flatpak,0.09266936696354386,-0.09266936696354386
cat__project_gimp,0.09161631630842307,-0.09161631630842307
cat__project_libexpat,0.09119904740345182,-0.09119904740345182
cat__cwe_CWE-668,0.09119904740345182,-0.09119904740345182
cat__cwe_CWE-193,0.0906308624125978,-0.0906308624125978
cat__cwe_CWE-345,0.09039831636226334,0.09039831636226334
cat__project_libvncserver,0.09014374498100876,-0.09014374498100876
num__old_rag_prompt_tokens,0.08885588199291611,0.08885588199291611
cat__project_LuaJIT,0.08699269789012112,-0.08699269789012112
cat__project_jasper,0.08489207791314263,-0.08489207791314263
cat__cwe_CWE-401,0.08479570576326627,0.08479570576326627
cat__project_ghostpdl,0.08294740157288015,-0.08294740157288015
cat__project_lua,0.08289362481871766,0.08289362481871766
cat__cwe_CWE-862,0.08272228237878454,0.08272228237878454
cat__project_swtpm,0.08269237188762926,0.08269237188762926
cat__project_u-boot,0.08187466909331076,0.08187466909331076
cat__project_liblouis,0.08174703037484816,0.08174703037484816
cat__cwe_CWE-754,0.08136922903296101,0.08136922903296101
cat__cwe_CWE-824,0.08050281560250139,-0.08050281560250139
cat__project_barebox,0.08049161226090747,0.08049161226090747
cat__retrieval_top1_evidence_role_safe_background,0.08002250783541665,-0.08002250783541665
cat__project_gerbv,0.07984646318907905,-0.07984646318907905
num__token_len_approx,0.0794421074113141,0.0794421074113141
num__retrieval_same_project_match_count,0.07691113569862507,0.07691113569862507
cat__project_ipsec,0.07689906730505283,-0.07689906730505283
cat__cwe_CWE-79,0.07583653852686921,-0.07583653852686921
cat__cwe_CWE-287,0.07445280628926405,-0.07445280628926405
cat__cwe_CWE-252,0.07439031755131974,-0.07439031755131974
cat__project_FFmpeg,0.07439031755131974,-0.07439031755131974
num__memory_api_count,0.07296590446276918,-0.07296590446276918
num__method_disagree,0.07129940602201743,0.07129940602201743
cat__project_bash,0.07123935494294392,-0.07123935494294392
cat__project_pjproject,0.07109478867800612,0.07109478867800612
cat__project_poppler,0.06989210137180854,-0.06989210137180854
cat__cwe_CWE-94,0.06826903023015565,-0.06826903023015565
cat__project_wireless-drivers,0.06764752178209105,0.06764752178209105
cat__project_openldap,0.06690845242543896,-0.06690845242543896
num__ptr_count,0.06603096211094796,0.06603096211094796
cat__project_util-linux,0.06516769668900443,-0.06516769668900443
cat__project_qtbase,0.06426309598847378,0.06426309598847378
cat__project_exiv2,0.060474320453035184,0.060474320453035184
cat__project_server,0.06005296406261891,-0.06005296406261891
cat__project_FreeRTOS-Kernel,0.05916445322430332,-0.05916445322430332
num__old_rag_message_chars,0.059065359059788186,0.059065359059788186
num__icl_message_chars,0.05868052179563659,-0.05868052179563659
cat__project_Singular,0.05753705597654128,-0.05753705597654128
cat__cwe_CWE-835,0.05731361917762891,-0.05731361917762891
cat__cwe_CWE-327,0.05686023158981347,-0.05686023158981347
cat__cwe_CWE-416,0.056578766329852336,0.056578766329852336
cat__project_tor,0.05647512798851398,0.05647512798851398
cat__project_JUCE,0.056232487875509204,-0.056232487875509204
cat__project_micro-ecc,0.05611435728733598,-0.05611435728733598
