feature,importance,signed_value
cat__project_libmobi,2.934762670194179e-05,2.934762670194179e-05
cat__cwe_CWE-401,2.4883038561455473e-05,2.4883038561455473e-05
cat__cwe_CWE-269,2.2474827182420415e-05,2.2474827182420415e-05
cat__cwe_CWE-835,1.7180985440106823e-05,1.7180985440106823e-05
cat__project_libjpeg,1.5981122660851892e-05,1.5981122660851892e-05
cat__project_squirrel,1.315431481400173e-05,1.315431481400173e-05
cat__project_xserver,1.0773459329421212e-05,1.0773459329421212e-05
cat__project_EternalTerminal,9.630737201296355e-06,9.630737201296355e-06
cat__project_net,8.307247329650836e-06,8.307247329650836e-06
cat__project_squid,8.151045187951044e-07,8.151045187951044e-07
cat__project_libvirt,5.785722810447339e-07,5.785722810447339e-07
cat__project_MilkyTracker,0.0,0.0
cat__cwe_CWE-17,0.0,0.0
cat__project_tar,0.0,0.0
cat__project_admesh,0.0,0.0
cat__project_swtpm,0.0,0.0
cat__project_Singular,0.0,0.0
cat__project_tigervnc,0.0,0.0
cat__cwe_CWE-193,0.0,0.0
cat__project_autotrace,0.0,0.0
cat__project_LuaJIT,0.0,0.0
cat__project_LibRaw,0.0,0.0
cat__cwe_CWE-212,0.0,0.0
cat__project_JUCE,0.0,0.0
cat__cwe_CWE-252,0.0,0.0
cat__cwe_CWE-264,0.0,0.0
cat__cwe_CWE-134,0.0,0.0
cat__project_barebox,0.0,0.0
cat__project_tinyexr,0.0,0.0
cat__project_bash,0.0,0.0
cat__project_tmate-ssh-server,0.0,0.0
cat__project_cairo,0.0,0.0
cat__project_tor,0.0,0.0
cat__project_u-boot,0.0,0.0
cat__project_uWebSockets,0.0,0.0
cat__project_uftpd,0.0,0.0
cat__project_unbound,0.0,0.0
cat__project_unicorn,0.0,0.0
cat__project_util-linux,0.0,0.0
cat__project_v4l2loopback,0.0,0.0
cat__project_varnish-cache,0.0,0.0
cat__project_bpf,0.0,0.0
cat__project_weechat,0.0,0.0
cat__project_wireless-drivers,0.0,0.0
cat__project_wolfMQTT,0.0,0.0
cat__cwe_CWE-275,0.0,0.0
cat__project_booth,0.0,0.0
cat__project_zlib,0.0,0.0
cat__project_envoy,0.0,0.0
cat__cwe_CWE-276,0.0,0.0
cat__cwe_CWE-284,0.0,0.0
cat__cwe_CWE-672,0.0,0.0
num__retrieval_same_cwe_match_count,0.0,0.0
cat__cwe_CWE-704,0.0,0.0
cat__cwe_CWE-732,0.0,0.0
cat__cwe_CWE-754,0.0,0.0
cat__cwe_CWE-770,0.0,0.0
cat__cwe_CWE-772,0.0,0.0
num__retrieval_negative_evidence_count,0.0,0.0
cat__cwe_CWE-79,0.0,0.0
cat__cwe_CWE-824,0.0,0.0
cat__cwe_CWE-834,0.0,0.0
num__retrieval_num_selected_query_chunks,0.0,0.0
cat__cwe_CWE-862,0.0,0.0
cat__cwe_CWE-863,0.0,0.0
cat__cwe_CWE-908,0.0,0.0
cat__cwe_CWE-909,0.0,0.0
cat__cwe_CWE-924,0.0,0.0
cat__cwe_CWE-668,0.0,0.0
cat__cwe_CWE-665,0.0,0.0
num__retrieval_role_count_unknown,0.0,0.0
cat__project_FreeRDP,0.0,0.0
cat__cwe_CWE-288,0.0,0.0
cat__cwe_CWE-295,0.0,0.0
cat__cwe_CWE-310,0.0,0.0
cat__cwe_CWE-327,0.0,0.0
cat__cwe_CWE-345,0.0,0.0
cat__cwe_CWE-354,0.0,0.0
