run,seed,known,known_pairs,sample_accuracy,sample_precision,sample_recall,sample_specificity,sample_f1,sample_yes_rate,sample_directional_failure_index,pair_P-C_rate,pair_P-V_rate,pair_P-B_rate,pair_P-R_rate
graphcodebert_fullfunc_seed12345,12345,870,435,0.5160919540229885,0.5104477611940299,0.7862068965517242,0.24597701149425288,0.6190045248868778,0.7701149425287356,0.5402298850574713,0.041379310344827586,0.7448275862068966,0.2045977011494253,0.009195402298850575
graphcodebert_fullfunc_seed23456,23456,870,435,0.5126436781609195,0.5174603174603175,0.37471264367816093,0.6505747126436782,0.4346666666666667,0.3620689655172414,-0.27586206896551724,0.03908045977011494,0.335632183908046,0.6114942528735632,0.013793103448275862
graphcodebert_fullfunc_seed34567,34567,870,435,0.5103448275862069,0.5059445178335535,0.8804597701149425,0.14022988505747128,0.6426174496644296,0.8701149425287357,0.7402298850574712,0.034482758620689655,0.8459770114942529,0.10574712643678161,0.013793103448275862
