method,known_pairs,unknown_pairs,P-C,P-V,P-B,P-R,P-C_rate,P-V_rate,P-B_rate,P-R_rate
author_no_yes,433,0,36,307,66,24,0.083141,0.709007,0.152425,0.055427
best_ensemble,433,0,23,368,34,8,0.053118,0.849885,0.078522,0.018476
old_rag,433,0,37,260,108,28,0.08545,0.600462,0.249423,0.064665
patch_contrast,433,0,35,270,102,26,0.080831,0.623557,0.235566,0.060046
positive_weighted_rag,433,0,31,239,141,22,0.071594,0.551963,0.325635,0.050808
yes_only,433,0,39,317,63,14,0.090069,0.732102,0.145497,0.032333
zero_shot,433,0,29,331,61,12,0.066975,0.764434,0.140878,0.027714
