method,known_pairs,unknown_pairs,P-C,P-V,P-B,P-R,P-C_rate,P-V_rate,P-B_rate,P-R_rate
author_no_yes,435,0,36,309,66,24,0.082759,0.710345,0.151724,0.055172
best_ensemble,435,0,23,370,34,8,0.052874,0.850575,0.078161,0.018391
old_rag,435,0,37,262,108,28,0.085057,0.602299,0.248276,0.064368
patch_contrast,435,0,35,272,102,26,0.08046,0.625287,0.234483,0.05977
positive_weighted_rag,435,0,31,241,141,22,0.071264,0.554023,0.324138,0.050575
yes_only,435,0,39,319,63,14,0.089655,0.733333,0.144828,0.032184
zero_shot,435,0,29,333,61,12,0.066667,0.765517,0.14023,0.027586
