name,strategy,known,accuracy,precision,recall,f1,yes_rate,tp,fp,tn,fn,methods,unknown
zero_shot+author_no_yes+old_rag+positive_weighted_rag,or,868,0.506912,0.504599,0.882759,0.64214,0.876728,384,377,56,51,zero_shot|author_no_yes|old_rag|positive_weighted_rag,0
yes_only+author_no_yes+patch_contrast,or,868,0.508065,0.505277,0.88046,0.642079,0.873272,383,375,58,52,yes_only|author_no_yes|patch_contrast,0
zero_shot+author_no_yes+patch_contrast,or,868,0.504608,0.503268,0.885057,0.641667,0.881336,385,380,53,50,zero_shot|author_no_yes|patch_contrast,0
zero_shot+old_rag+positive_weighted_rag+patch_contrast,or,868,0.50576,0.503937,0.882759,0.641604,0.87788,384,378,55,51,zero_shot|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+old_rag+patch_contrast,or,868,0.506912,0.504611,0.88046,0.641541,0.874424,383,376,57,52,zero_shot|old_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag,or,868,0.506912,0.504624,0.878161,0.64094,0.87212,382,375,58,53,zero_shot|author_no_yes|old_rag,0
zero_shot+positive_weighted_rag+patch_contrast,or,868,0.510369,0.506684,0.871264,0.640744,0.861751,379,369,64,56,zero_shot|positive_weighted_rag|patch_contrast,0
zero_shot+old_rag,or,868,0.516129,0.51026,0.857471,0.639794,0.842166,373,358,75,62,zero_shot|old_rag,0
zero_shot+old_rag,majority_tie_yes,868,0.516129,0.51026,0.857471,0.639794,0.842166,373,358,75,62,zero_shot|old_rag,0
zero_shot+patch_contrast,or,868,0.511521,0.507422,0.864368,0.639456,0.853687,376,365,68,59,zero_shot|patch_contrast,0
zero_shot+patch_contrast,majority_tie_yes,868,0.511521,0.507422,0.864368,0.639456,0.853687,376,365,68,59,zero_shot|patch_contrast,0
zero_shot+old_rag+positive_weighted_rag,or,868,0.512673,0.50813,0.862069,0.639386,0.85023,375,363,70,60,zero_shot|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag,majority_tie_yes,868,0.523041,0.514727,0.843678,0.639373,0.821429,367,346,87,68,zero_shot|yes_only|author_no_yes|old_rag,0
yes_only+author_no_yes,or,868,0.513825,0.508916,0.852874,0.637457,0.839862,371,358,75,64,yes_only|author_no_yes,0
yes_only+author_no_yes,majority_tie_yes,868,0.513825,0.508916,0.852874,0.637457,0.839862,371,358,75,64,yes_only|author_no_yes,0
zero_shot+yes_only+author_no_yes+patch_contrast,majority_tie_yes,868,0.517281,0.511142,0.843678,0.6366,0.827189,367,351,82,68,zero_shot|yes_only|author_no_yes|patch_contrast,0
zero_shot+author_no_yes+positive_weighted_rag,or,868,0.504608,0.503347,0.864368,0.63621,0.860599,376,371,62,59,zero_shot|author_no_yes|positive_weighted_rag,0
author_no_yes+old_rag+positive_weighted_rag+patch_contrast,or,868,0.5,0.500662,0.868966,0.635294,0.869816,378,377,56,57,author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+patch_contrast,or,868,0.501152,0.50133,0.866667,0.635215,0.866359,377,375,58,58,author_no_yes|old_rag|patch_contrast,0
zero_shot+positive_weighted_rag,or,868,0.514977,0.509749,0.841379,0.634866,0.827189,366,352,81,69,zero_shot|positive_weighted_rag,0
zero_shot+positive_weighted_rag,majority_tie_yes,868,0.514977,0.509749,0.841379,0.634866,0.827189,366,352,81,69,zero_shot|positive_weighted_rag,0
zero_shot+author_no_yes,or,868,0.504608,0.503374,0.857471,0.634354,0.853687,373,368,65,62,zero_shot|author_no_yes,0
zero_shot+author_no_yes,majority_tie_yes,868,0.504608,0.503374,0.857471,0.634354,0.853687,373,368,65,62,zero_shot|author_no_yes,0
zero_shot+yes_only+author_no_yes,majority,868,0.521889,0.514327,0.825287,0.633716,0.804147,359,339,94,76,zero_shot|yes_only|author_no_yes,0
zero_shot+yes_only+author_no_yes,majority_tie_yes,868,0.521889,0.514327,0.825287,0.633716,0.804147,359,339,94,76,zero_shot|yes_only|author_no_yes,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag,majority_tie_yes,868,0.518433,0.512057,0.829885,0.633333,0.812212,361,344,89,74,zero_shot|yes_only|author_no_yes|positive_weighted_rag,0
zero_shot+yes_only+old_rag+patch_contrast,majority_tie_yes,868,0.514977,0.509859,0.832184,0.632314,0.817972,362,348,85,73,zero_shot|yes_only|old_rag|patch_contrast,0
zero_shot+yes_only+old_rag,majority,868,0.524194,0.516035,0.813793,0.631579,0.790323,354,332,101,81,zero_shot|yes_only|old_rag,0
zero_shot+yes_only+old_rag,majority_tie_yes,868,0.524194,0.516035,0.813793,0.631579,0.790323,354,332,101,81,zero_shot|yes_only|old_rag,0
author_no_yes+old_rag+positive_weighted_rag,or,868,0.508065,0.505525,0.841379,0.631579,0.834101,366,358,75,69,author_no_yes|old_rag|positive_weighted_rag,0
author_no_yes+old_rag,or,868,0.511521,0.507692,0.834483,0.631304,0.823733,363,352,81,72,author_no_yes|old_rag,0
author_no_yes+old_rag,majority_tie_yes,868,0.511521,0.507692,0.834483,0.631304,0.823733,363,352,81,72,author_no_yes|old_rag,0
author_no_yes+positive_weighted_rag+patch_contrast,or,868,0.501152,0.501355,0.850575,0.630861,0.85023,370,368,65,65,author_no_yes|positive_weighted_rag|patch_contrast,0
author_no_yes+patch_contrast,or,868,0.503456,0.502732,0.845977,0.630677,0.843318,368,364,69,67,author_no_yes|patch_contrast,0
author_no_yes+patch_contrast,majority_tie_yes,868,0.503456,0.502732,0.845977,0.630677,0.843318,368,364,69,67,author_no_yes|patch_contrast,0
zero_shot+yes_only+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.514977,0.509972,0.822989,0.629727,0.808756,358,344,89,77,zero_shot|yes_only|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag,majority_tie_yes,868,0.517281,0.511527,0.816092,0.628875,0.799539,355,339,94,80,zero_shot|yes_only|old_rag|positive_weighted_rag,0
zero_shot+yes_only+patch_contrast,majority,868,0.516129,0.510791,0.816092,0.628319,0.800691,355,340,93,80,zero_shot|yes_only|patch_contrast,0
zero_shot+yes_only+patch_contrast,majority_tie_yes,868,0.516129,0.510791,0.816092,0.628319,0.800691,355,340,93,80,zero_shot|yes_only|patch_contrast,0
yes_only+author_no_yes+old_rag+patch_contrast,majority_tie_yes,868,0.510369,0.507082,0.822989,0.62752,0.813364,358,348,85,77,yes_only|author_no_yes|old_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag,majority_tie_yes,868,0.517281,0.511628,0.809195,0.626892,0.792627,352,336,97,83,yes_only|author_no_yes|old_rag|positive_weighted_rag,0
yes_only+author_no_yes+patch_contrast,majority,868,0.518433,0.512409,0.806897,0.626786,0.789171,351,334,99,84,yes_only|author_no_yes|patch_contrast,0
yes_only+author_no_yes+patch_contrast,majority_tie_yes,868,0.518433,0.512409,0.806897,0.626786,0.789171,351,334,99,84,yes_only|author_no_yes|patch_contrast,0
yes_only+author_no_yes+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.512673,0.508596,0.816092,0.626655,0.804147,355,343,90,80,yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
author_no_yes+positive_weighted_rag,or,868,0.512673,0.508621,0.813793,0.625995,0.801843,354,342,91,81,author_no_yes|positive_weighted_rag,0
author_no_yes+positive_weighted_rag,majority_tie_yes,868,0.512673,0.508621,0.813793,0.625995,0.801843,354,342,91,81,author_no_yes|positive_weighted_rag,0
yes_only+author_no_yes+old_rag,majority,868,0.520737,0.514032,0.8,0.625899,0.779954,348,329,104,87,yes_only|author_no_yes|old_rag,0
yes_only+author_no_yes+old_rag,majority_tie_yes,868,0.520737,0.514032,0.8,0.625899,0.779954,348,329,104,87,yes_only|author_no_yes|old_rag,0
zero_shot+yes_only+positive_weighted_rag,majority,868,0.519585,0.513393,0.793103,0.623306,0.774194,345,327,106,90,zero_shot|yes_only|positive_weighted_rag,0
zero_shot+yes_only+positive_weighted_rag,majority_tie_yes,868,0.519585,0.513393,0.793103,0.623306,0.774194,345,327,106,90,zero_shot|yes_only|positive_weighted_rag,0
zero_shot+author_no_yes+old_rag,majority,868,0.518433,0.51263,0.793103,0.622744,0.775346,345,328,105,90,zero_shot|author_no_yes|old_rag,0
zero_shot+author_no_yes+old_rag,majority_tie_yes,868,0.518433,0.51263,0.793103,0.622744,0.775346,345,328,105,90,zero_shot|author_no_yes|old_rag,0
zero_shot+author_no_yes+old_rag+patch_contrast,majority_tie_yes,868,0.50576,0.504274,0.813793,0.622691,0.808756,354,348,85,81,zero_shot|author_no_yes|old_rag|patch_contrast,0
zero_shot+author_no_yes+positive_weighted_rag,majority,868,0.523041,0.515885,0.783908,0.622263,0.761521,341,320,113,94,zero_shot|author_no_yes|positive_weighted_rag,0
zero_shot+author_no_yes+positive_weighted_rag,majority_tie_yes,868,0.523041,0.515885,0.783908,0.622263,0.761521,341,320,113,94,zero_shot|author_no_yes|positive_weighted_rag,0
zero_shot+author_no_yes,and,868,0.531106,0.521875,0.767816,0.621395,0.737327,334,306,127,101,zero_shot|author_no_yes,0
zero_shot+author_no_yes,majority,868,0.531106,0.521875,0.767816,0.621395,0.737327,334,306,127,101,zero_shot|author_no_yes,0
zero_shot+yes_only,and,868,0.526498,0.518462,0.774713,0.621198,0.748848,337,313,120,98,zero_shot|yes_only,0
zero_shot+yes_only,majority,868,0.526498,0.518462,0.774713,0.621198,0.748848,337,313,120,98,zero_shot|yes_only,0
yes_only+author_no_yes+positive_weighted_rag,majority,868,0.520737,0.514329,0.783908,0.621129,0.763825,341,322,111,94,yes_only|author_no_yes|positive_weighted_rag,0
yes_only+author_no_yes+positive_weighted_rag,majority_tie_yes,868,0.520737,0.514329,0.783908,0.621129,0.763825,341,322,111,94,yes_only|author_no_yes|positive_weighted_rag,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag,majority_tie_yes,868,0.511521,0.508053,0.797701,0.620751,0.786866,347,336,97,88,zero_shot|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.511177,0.788506,0.620253,0.773041,343,328,105,92,zero_shot|yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.516129,0.511177,0.788506,0.620253,0.773041,343,328,105,92,zero_shot|yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+patch_contrast,majority,868,0.510369,0.50731,0.797701,0.620197,0.788018,347,337,96,88,zero_shot|author_no_yes|patch_contrast,0
zero_shot+author_no_yes+patch_contrast,majority_tie_yes,868,0.510369,0.50731,0.797701,0.620197,0.788018,347,337,96,88,zero_shot|author_no_yes|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+patch_contrast,majority,868,0.511521,0.508076,0.795402,0.620072,0.784562,346,335,98,89,zero_shot|yes_only|author_no_yes|old_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+patch_contrast,majority_tie_yes,868,0.511521,0.508076,0.795402,0.620072,0.784562,346,335,98,89,zero_shot|yes_only|author_no_yes|old_rag|patch_contrast,0
yes_only+author_no_yes,and,868,0.531106,0.522013,0.763218,0.619981,0.732719,332,304,129,103,yes_only|author_no_yes,0
yes_only+author_no_yes,majority,868,0.531106,0.522013,0.763218,0.619981,0.732719,332,304,129,103,yes_only|author_no_yes,0
zero_shot+author_no_yes+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.506912,0.505065,0.802299,0.619893,0.796083,349,342,91,86,zero_shot|author_no_yes|positive_weighted_rag|patch_contrast,0
old_rag+positive_weighted_rag+patch_contrast,or,868,0.497696,0.499295,0.813793,0.618881,0.81682,354,355,78,81,old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.506912,0.505109,0.795402,0.617857,0.789171,346,339,94,89,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+patch_contrast,majority,868,0.516129,0.511312,0.77931,0.617486,0.763825,339,324,109,96,zero_shot|yes_only|author_no_yes|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag,majority,868,0.519585,0.513761,0.772414,0.61708,0.753456,336,318,115,99,zero_shot|yes_only|author_no_yes|old_rag,0
old_rag+patch_contrast,or,868,0.5,0.500717,0.802299,0.616608,0.802995,349,348,85,86,old_rag|patch_contrast,0
old_rag+patch_contrast,majority_tie_yes,868,0.5,0.500717,0.802299,0.616608,0.802995,349,348,85,86,old_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag,majority,868,0.524194,0.517134,0.763218,0.616527,0.739631,332,310,123,103,zero_shot|yes_only|author_no_yes|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag,majority,868,0.512673,0.509009,0.77931,0.615804,0.767281,339,327,106,96,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag,majority_tie_yes,868,0.512673,0.509009,0.77931,0.615804,0.767281,339,327,106,96,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.510369,0.507485,0.77931,0.614687,0.769585,339,329,104,96,zero_shot|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.511521,0.508271,0.777011,0.614545,0.766129,338,327,106,97,yes_only|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes,and,868,0.53341,0.52443,0.74023,0.613918,0.707373,322,292,141,113,zero_shot|yes_only|author_no_yes,0
yes_only+old_rag+patch_contrast,majority,868,0.517281,0.512384,0.76092,0.612396,0.74424,331,315,118,104,yes_only|old_rag|patch_contrast,0
yes_only+old_rag+patch_contrast,majority_tie_yes,868,0.517281,0.512384,0.76092,0.612396,0.74424,331,315,118,104,yes_only|old_rag|patch_contrast,0
zero_shot+old_rag+patch_contrast,majority,868,0.513825,0.509985,0.763218,0.611418,0.75,332,319,114,103,zero_shot|old_rag|patch_contrast,0
zero_shot+old_rag+patch_contrast,majority_tie_yes,868,0.513825,0.509985,0.763218,0.611418,0.75,332,319,114,103,zero_shot|old_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.519585,0.514107,0.754023,0.61137,0.735023,328,310,123,107,yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.519585,0.514107,0.754023,0.61137,0.735023,328,310,123,107,yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.523041,0.516693,0.747126,0.610902,0.724654,325,304,129,110,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.513825,0.510046,0.758621,0.609982,0.745392,330,317,116,105,zero_shot|yes_only|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.513825,0.510046,0.758621,0.609982,0.745392,330,317,116,105,zero_shot|yes_only|old_rag|positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.508065,0.506079,0.765517,0.609332,0.758065,333,325,108,102,author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+patch_contrast,majority,868,0.520737,0.515103,0.744828,0.609023,0.724654,324,305,128,111,zero_shot|yes_only|old_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.511737,0.751724,0.608939,0.736175,327,312,121,108,zero_shot|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.516129,0.511737,0.751724,0.608939,0.736175,327,312,121,108,zero_shot|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+patch_contrast,majority,868,0.524194,0.517799,0.735632,0.607787,0.711982,320,298,135,115,yes_only|author_no_yes|old_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+patch_contrast,majority,868,0.521889,0.516077,0.737931,0.607379,0.71659,321,301,132,114,zero_shot|author_no_yes|old_rag|patch_contrast,0
positive_weighted_rag+patch_contrast,or,868,0.504608,0.503794,0.763218,0.606947,0.759217,332,327,106,103,positive_weighted_rag|patch_contrast,0
positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.504608,0.503794,0.763218,0.606947,0.759217,332,327,106,103,positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+patch_contrast,majority,868,0.512673,0.509375,0.749425,0.606512,0.737327,326,314,119,109,author_no_yes|old_rag|patch_contrast,0
author_no_yes+old_rag+patch_contrast,majority_tie_yes,868,0.512673,0.509375,0.749425,0.606512,0.737327,326,314,119,109,author_no_yes|old_rag|patch_contrast,0
old_rag+positive_weighted_rag,or,868,0.506912,0.505477,0.742529,0.60149,0.736175,323,316,117,112,old_rag|positive_weighted_rag,0
old_rag+positive_weighted_rag,majority_tie_yes,868,0.506912,0.505477,0.742529,0.60149,0.736175,323,316,117,112,old_rag|positive_weighted_rag,0
yes_only+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.512156,0.726437,0.60076,0.710829,316,301,132,119,yes_only|positive_weighted_rag|patch_contrast,0
yes_only+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.516129,0.512156,0.726437,0.60076,0.710829,316,301,132,119,yes_only|positive_weighted_rag|patch_contrast,0
author_no_yes+positive_weighted_rag+patch_contrast,majority,868,0.518433,0.513912,0.721839,0.600382,0.703917,314,297,136,121,author_no_yes|positive_weighted_rag|patch_contrast,0
author_no_yes+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.518433,0.513912,0.721839,0.600382,0.703917,314,297,136,121,author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+positive_weighted_rag+patch_contrast,majority,868,0.524194,0.518395,0.712644,0.600194,0.68894,310,288,145,125,zero_shot|author_no_yes|positive_weighted_rag|patch_contrast,0
yes_only+old_rag+positive_weighted_rag,majority,868,0.519585,0.514803,0.71954,0.600192,0.700461,313,295,138,122,yes_only|old_rag|positive_weighted_rag,0
