name,strategy,known,accuracy,precision,recall,f1,yes_rate,tp,fp,tn,fn,methods,unknown
old_rag+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.512998,0.68046,0.58498,0.664747,296,281,152,139,old_rag|positive_weighted_rag|patch_contrast,0
old_rag+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.516129,0.512998,0.68046,0.58498,0.664747,296,281,152,139,old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+patch_contrast,and,868,0.520737,0.516755,0.673563,0.58483,0.653226,293,274,159,142,zero_shot|patch_contrast,0
zero_shot+patch_contrast,majority,868,0.520737,0.516755,0.673563,0.58483,0.653226,293,274,159,142,zero_shot|patch_contrast,0
yes_only+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.523041,0.518784,0.666667,0.583501,0.644009,290,269,164,145,yes_only|old_rag|positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.523041,0.518851,0.664368,0.582661,0.641705,289,268,165,146,author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+patch_contrast,and,868,0.524194,0.519928,0.65977,0.58156,0.635945,287,265,168,148,yes_only|patch_contrast,0
yes_only+patch_contrast,majority,868,0.524194,0.519928,0.65977,0.58156,0.635945,287,265,168,148,yes_only|patch_contrast,0
zero_shot+author_no_yes+patch_contrast,and,868,0.532258,0.527103,0.648276,0.581443,0.616359,282,253,180,153,zero_shot|author_no_yes|patch_contrast,0
zero_shot+old_rag+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.513321,0.664368,0.579158,0.648618,289,274,159,146,zero_shot|old_rag|positive_weighted_rag|patch_contrast,0
author_no_yes+patch_contrast,and,868,0.523041,0.519196,0.652874,0.578411,0.630184,284,263,170,151,author_no_yes|patch_contrast,0
author_no_yes+patch_contrast,majority,868,0.523041,0.519196,0.652874,0.578411,0.630184,284,263,170,151,author_no_yes|patch_contrast,0
zero_shot+old_rag,and,868,0.516129,0.513369,0.662069,0.578313,0.646313,288,273,160,147,zero_shot|old_rag,0
zero_shot+old_rag,majority,868,0.516129,0.513369,0.662069,0.578313,0.646313,288,273,160,147,zero_shot|old_rag,0
zero_shot+yes_only+patch_contrast,and,868,0.52765,0.523277,0.645977,0.578189,0.618664,281,256,177,154,zero_shot|yes_only|patch_contrast,0
zero_shot+yes_only+author_no_yes+patch_contrast,and,868,0.535714,0.531008,0.629885,0.576236,0.59447,274,242,191,161,zero_shot|yes_only|author_no_yes|patch_contrast,0
yes_only+old_rag,and,868,0.518433,0.515483,0.650575,0.575203,0.632488,283,266,167,152,yes_only|old_rag,0
yes_only+old_rag,majority,868,0.518433,0.515483,0.650575,0.575203,0.632488,283,266,167,152,yes_only|old_rag,0
yes_only+author_no_yes+patch_contrast,and,868,0.529954,0.525714,0.634483,0.575,0.604839,276,249,184,159,yes_only|author_no_yes|patch_contrast,0
zero_shot+author_no_yes+old_rag,and,868,0.521889,0.518587,0.641379,0.573484,0.619816,279,259,174,156,zero_shot|author_no_yes|old_rag,0
author_no_yes+old_rag,and,868,0.514977,0.512774,0.645977,0.571719,0.631336,281,267,166,154,author_no_yes|old_rag,0
author_no_yes+old_rag,majority,868,0.514977,0.512774,0.645977,0.571719,0.631336,281,267,166,154,author_no_yes|old_rag,0
zero_shot+yes_only+old_rag,and,868,0.518433,0.515829,0.636782,0.569959,0.618664,277,260,173,158,zero_shot|yes_only|old_rag,0
yes_only+author_no_yes+old_rag,and,868,0.521889,0.518939,0.629885,0.569055,0.608295,274,254,179,161,yes_only|author_no_yes|old_rag,0
zero_shot+yes_only+author_no_yes+old_rag,and,868,0.525346,0.522073,0.625287,0.569038,0.60023,272,249,184,163,zero_shot|yes_only|author_no_yes|old_rag,0
zero_shot+positive_weighted_rag,and,868,0.517281,0.515385,0.616092,0.561257,0.599078,268,252,181,167,zero_shot|positive_weighted_rag,0
zero_shot+positive_weighted_rag,majority,868,0.517281,0.515385,0.616092,0.561257,0.599078,268,252,181,167,zero_shot|positive_weighted_rag,0
zero_shot+author_no_yes+positive_weighted_rag,and,868,0.519585,0.517787,0.602299,0.556854,0.582949,262,244,189,173,zero_shot|author_no_yes|positive_weighted_rag,0
zero_shot+yes_only+positive_weighted_rag,and,868,0.518433,0.516832,0.6,0.555319,0.581797,261,244,189,174,zero_shot|yes_only|positive_weighted_rag,0
author_no_yes+positive_weighted_rag,and,868,0.513825,0.512671,0.604598,0.554852,0.591014,263,250,183,172,author_no_yes|positive_weighted_rag,0
author_no_yes+positive_weighted_rag,majority,868,0.513825,0.512671,0.604598,0.554852,0.591014,263,250,183,172,author_no_yes|positive_weighted_rag,0
old_rag+patch_contrast,and,868,0.523041,0.521298,0.590805,0.553879,0.567972,257,236,197,178,old_rag|patch_contrast,0
old_rag+patch_contrast,majority,868,0.523041,0.521298,0.590805,0.553879,0.567972,257,236,197,178,old_rag|patch_contrast,0
yes_only+positive_weighted_rag,and,868,0.512673,0.511719,0.602299,0.553326,0.589862,262,250,183,173,yes_only|positive_weighted_rag,0
yes_only+positive_weighted_rag,majority,868,0.512673,0.511719,0.602299,0.553326,0.589862,262,250,183,173,yes_only|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag,and,868,0.521889,0.520243,0.590805,0.553283,0.569124,257,237,196,178,zero_shot|yes_only|author_no_yes|positive_weighted_rag,0
yes_only+author_no_yes+positive_weighted_rag,and,868,0.518433,0.517034,0.593103,0.552463,0.574885,258,241,192,177,yes_only|author_no_yes|positive_weighted_rag,0
zero_shot+old_rag+patch_contrast,and,868,0.523041,0.521649,0.581609,0.55,0.558756,253,232,201,182,zero_shot|old_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+patch_contrast,and,868,0.526498,0.525532,0.567816,0.545856,0.541475,247,223,210,188,zero_shot|author_no_yes|old_rag|patch_contrast,0
author_no_yes+old_rag+patch_contrast,and,868,0.524194,0.523207,0.570115,0.545655,0.546083,248,226,207,187,author_no_yes|old_rag|patch_contrast,0
yes_only+old_rag+patch_contrast,and,868,0.524194,0.523207,0.570115,0.545655,0.546083,248,226,207,187,yes_only|old_rag|patch_contrast,0
zero_shot+positive_weighted_rag+patch_contrast,and,868,0.523041,0.522293,0.565517,0.543046,0.542627,246,225,208,189,zero_shot|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+patch_contrast,and,868,0.524194,0.523504,0.563218,0.542636,0.539171,245,223,210,190,zero_shot|yes_only|old_rag|patch_contrast,0
positive_weighted_rag+patch_contrast,and,868,0.518433,0.51782,0.567816,0.541667,0.549539,247,230,203,188,positive_weighted_rag|patch_contrast,0
positive_weighted_rag+patch_contrast,majority,868,0.518433,0.51782,0.567816,0.541667,0.549539,247,230,203,188,positive_weighted_rag|patch_contrast,0
old_rag+positive_weighted_rag,and,868,0.516129,0.515593,0.570115,0.541485,0.554147,248,233,200,187,old_rag|positive_weighted_rag,0
old_rag+positive_weighted_rag,majority,868,0.516129,0.515593,0.570115,0.541485,0.554147,248,233,200,187,old_rag|positive_weighted_rag,0
zero_shot+old_rag+positive_weighted_rag,and,868,0.518433,0.517895,0.565517,0.540659,0.547235,246,229,204,189,zero_shot|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag+patch_contrast,and,868,0.52765,0.527352,0.554023,0.540359,0.526498,241,216,217,194,zero_shot|yes_only|author_no_yes|old_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+patch_contrast,and,868,0.525346,0.524946,0.556322,0.540179,0.531106,242,219,214,193,yes_only|author_no_yes|old_rag|patch_contrast,0
zero_shot+yes_only+positive_weighted_rag+patch_contrast,and,868,0.524194,0.524017,0.551724,0.537514,0.52765,240,218,215,195,zero_shot|yes_only|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+positive_weighted_rag+patch_contrast,and,868,0.523041,0.522876,0.551724,0.536913,0.528802,240,219,214,195,zero_shot|author_no_yes|positive_weighted_rag|patch_contrast,0
yes_only+positive_weighted_rag+patch_contrast,and,868,0.519585,0.519481,0.551724,0.535117,0.532258,240,222,211,195,yes_only|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag,and,868,0.517281,0.517167,0.554023,0.534961,0.536866,241,225,208,194,zero_shot|author_no_yes|old_rag|positive_weighted_rag,0
author_no_yes+old_rag+positive_weighted_rag,and,868,0.514977,0.514894,0.556322,0.534807,0.541475,242,228,205,193,author_no_yes|old_rag|positive_weighted_rag,0
author_no_yes+positive_weighted_rag+patch_contrast,and,868,0.518433,0.518359,0.551724,0.534521,0.53341,240,223,210,195,author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag+patch_contrast,and,868,0.525346,0.525612,0.542529,0.533937,0.517281,236,213,220,199,zero_shot|yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag,and,868,0.516129,0.516199,0.549425,0.532294,0.53341,239,224,209,196,zero_shot|yes_only|old_rag|positive_weighted_rag,0
yes_only+old_rag+positive_weighted_rag,and,868,0.513825,0.513919,0.551724,0.532151,0.538018,240,227,206,195,yes_only|old_rag|positive_weighted_rag,0
yes_only+author_no_yes+positive_weighted_rag+patch_contrast,and,868,0.520737,0.520971,0.542529,0.531532,0.521889,236,217,216,199,yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag,and,868,0.516129,0.51634,0.544828,0.530201,0.528802,237,222,211,198,yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag,and,868,0.517281,0.517544,0.542529,0.529742,0.525346,236,220,213,199,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+old_rag+positive_weighted_rag+patch_contrast,and,868,0.523041,0.524138,0.524138,0.524138,0.501152,228,207,226,207,zero_shot|old_rag|positive_weighted_rag|patch_contrast,0
old_rag+positive_weighted_rag+patch_contrast,and,868,0.520737,0.521739,0.524138,0.522936,0.503456,228,209,224,207,old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,and,868,0.520737,0.522248,0.512644,0.517401,0.491935,223,204,229,212,zero_shot|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag+patch_contrast,and,868,0.520737,0.522353,0.510345,0.516279,0.489631,222,203,230,213,zero_shot|yes_only|old_rag|positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+positive_weighted_rag+patch_contrast,and,868,0.518433,0.519814,0.512644,0.516204,0.49424,223,206,227,212,author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+old_rag+positive_weighted_rag+patch_contrast,and,868,0.518433,0.519906,0.510345,0.515081,0.491935,222,205,228,213,yes_only|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,and,868,0.520737,0.522673,0.503448,0.512881,0.482719,219,200,233,216,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,and,868,0.518433,0.52019,0.503448,0.511682,0.485023,219,202,231,216,yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
