name,known,accuracy,precision,recall,f1,yes_rate,tp,fp,tn,fn,unknown
zero_shot,868,0.520737,0.513475,0.832184,0.635088,0.812212,362,343,90,73,0
yes_only,868,0.529954,0.519594,0.822989,0.637011,0.793779,358,331,102,77,0
author_no_yes,868,0.514977,0.510355,0.793103,0.621062,0.778802,345,331,102,90,0
old_rag,868,0.511521,0.50937,0.687356,0.585127,0.676267,299,288,145,136,0
positive_weighted_rag,868,0.511521,0.510319,0.625287,0.561983,0.614055,272,261,172,163,0
patch_contrast,868,0.511521,0.509121,0.705747,0.591522,0.6947,307,296,137,128,0
